tweet_created,username,user_follower_count,tweet_text,tweet_retweet_count,source
2022-10-09,danna betsai,25,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,beautiful disaster,22,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,da sha,1579,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,agustina,567,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,s a l m a,733,rt daliadee998 love language,84,other
2022-10-09,arnaiz,126,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,smokio,1321,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,veru,119,rt whotfckisfrank mi love language es estar chingue y chingue,2592,whotfckisfrank
2022-10-09,chili,442,given that my main love language majorly involves running my fingers through a loved one s hair and cooking for the https t co ibpzrqtrpq,0,original tweet
2022-10-09,plush minks,3096,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,kenjie,68,love language https t co yzemsxzxbd,0,original tweet
2022-10-09,ela,47513,rt maryamhasnaa giving you infinite space just so you can come closer a love language,1220,other
2022-10-09,jam,644,my love language is violence not the domestic kind though the playful kind,0,original tweet
2022-10-09,s,190,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,michelle abigail,12552,rt suwaidybaba alot of people under this tweet with different opinion but one thing i can say is you don t love people in your love langu,139,other
2022-10-09,geyser,397,rt toppsta win 5 new that s not my books babies amp toddlers love touching the textured touchy feely patches amp looking for the famil,236,other
2022-10-09,omar muniz,539,rt bloomloftx my love language is putting my leg over yours,11695,other
2022-10-09,j m brister,9747,rt alicerauthor celebrate halloween with the award winning paranormalromance series sea of love ebook https t co 9qhoqzpxvz paperbac,61,other
2022-10-09,yae,649,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,habiba,444,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,seraea,47,rt everythinglanii a literal love language for me https t co h2ih8rdo,2,other
2022-10-09,shanice henderson,9450,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,waiting for the archon of wisdom,71,rt leviwithnos i think our love language stems from how our parents loved us i usually do a lot of acts of service to my exes cleaning,616,leviwithnos
2022-10-09,just u,64,rt seulrenethebae flowers are really seulrene s love language https t co 9hnmrpsc,727,seulrenethebae
2022-10-09,tha nonchalant brat,17,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,lin,657,rt miamiumiw doil love language say saranghae and kiss injoo save injoo s life more than once save her in court secured her money,124,other
2022-10-09,lil tarre,8,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,little gab903,14,rt whotfckisfrank mi love language es estar chingue y chingue,2592,whotfckisfrank
